Symbol	Description
CHFINR	Swiss Franc / Indian Rupee
CHFJPY	Swiss Franc / Japanese Yen
CHFKRW	Swiss Franc / Korean Won
CHFMXN	Swiss Franc / Mexican Peso
CHFMYR	Swiss Franc / Malaysian Ringgit
CHFNOK	Swiss Franc / Norwegian Krone
CHFNZD	Swiss Franc / New Zealand Dollar
CHFPKR	Swiss Franc / Pakistan Rupee
CHFPLN	Swiss Franc / Polish Zloty
CHFRON	Swiss Franc / Romanian Leu
CHFRUB	Swiss Franc / Russian Ruble
CHFSEK	Swiss Franc / Swedish Krona
CHFSGD	Swiss Franc / Singapore Dollar
CHFSZL	Swiss Franc / Lilangeni
CHFTHB	Swiss Franc / Thai Baht
CHFTRY	Swiss Franc / Turkish Lira
CHFTWD	Swiss Franc / New Taiwan Dollar
CHFUSD	Swiss Franc / US Dollar
CHFZAR	Swiss Franc / South African Rand
CLPEUR	Chilean Peso / Euro Dollar
CLPGBP	Chilean Peso / Pound Sterling
CLPUSD	Chilean Peso / US Dollar
CNHHKD	Renminbi (Offshore) / Hong Kong Dollar
CNHIDR	Renminbi (Offshore) / Indonesian Rupiah
CNHINR	Renminbi (Offshore) / Indian Rupee
CNHJPY	Renminbi (Offshore) / Japanese Yen
CNHKRW	Renminbi (Offshore) / Korean Won
CNHPHP	Renminbi (Offshore) / Philippine Peso
CNHTHB	Renminbi (Offshore) / Thai Baht
CNHTWD	Renminbi (Offshore) / New Taiwan Dollar
CNYAUD	Yuan Renminbi / Australian Dollar
CNYBGN	Yuan Renminbi / Bulgarian Lev
CNYCAD	Yuan Renminbi / Canadian Dollar
CNYCHF	Yuan Renminbi / Swiss Franc
CNYDKK	Yuan Renminbi / Danish Krone
CNYEUR	Yuan Renminbi / Euro Dollar
CNYGBP	Yuan Renminbi / Pound Sterling
CNYHKD	Yuan Renminbi / Hong Kong Dollar
CNYJPY	Yuan Renminbi / Japanese Yen
CNYKRW	Yuan Renminbi / Korean Won
CNYMYR	Yuan Renminbi / Malaysian Ringgit
CNYNZD	Yuan Renminbi / New Zealand Dollar
CNYUSD	Yuan Renminbi / US Dollar
CNYZAR	Yuan Renminbi / South African Rand
COPDKK	Colombian Peso / Danish Krone
CRCGBP	Costa Rican Colon / Pound Sterling
CYPZAR	Cyprus Pound / South African Rand
CZKCHF	Czech Koruna / Swiss Franc
CZKDKK	Czech Koruna / Danish Krone
CZKEUR	Czech Koruna / Euro Dollar
CZKJPY	Czech Koruna / Japanese Yen
CZKMXN	Czech Koruna / Mexican Peso
CZKNOK	Czech Koruna / Norwegian Krone
CZKPLN	Czech Koruna / Polish Zloty
CZKSEK	Czech Koruna / Swedish Krona
CZKUSD	Czech Koruna / US Dollar
DJFGBP	Djibouti Franc / Pound Sterling
DKKAED	Danish Krone / UAE Dirham
DKKAUD	Danish Krone / Australian Dollar
DKKBGN	Danish Krone / Bulgarian Lev
DKKCAD	Danish Krone / Canadian Dollar
DKKCHF	Danish Krone / Swiss Franc
DKKCNY	Danish Krone / Yuan Renminbi
DKKCOP	Danish Krone / Colombian Peso
DKKCZK	Danish Krone / Czech Koruna
DKKEUR	Danish Krone / Euro Dollar
DKKGBP	Danish Krone / Pound Sterling
DKKHKD	Danish Krone / Hong Kong Dollar
DKKHUF	Danish Krone / Hungarian Forint
DKKINR	Danish Krone / Indian Rupee
DKKISK	Danish Krone / Iceland Krona
DKKJPY	Danish Krone / Japanese Yen
DKKMXN	Danish Krone / Mexican Peso
DKKMYR	Danish Krone / Malaysian Ringgit
DKKNOK	Danish Krone / Norwegian Krone
DKKNZD	Danish Krone / New Zealand Dollar
DKKPHP	Danish Krone / Philippine Peso
DKKPKR	Danish Krone / Pakistan Rupee
DKKPLN	Danish Krone / Polish Zloty
DKKSEK	Danish Krone / Swedish Krona
DKKSGD	Danish Krone / Singapore Dollar
DKKTHB	Danish Krone / Thai Baht
DKKTRY	Danish Krone / Turkish Lira
DKKTWD	Danish Krone / New Taiwan Dollar
DKKUAH	Danish Krone / Hryvnia
DKKUSD	Danish Krone / US Dollar
DKKZAR	Danish Krone / South African Rand
DOPGBP	Dominican Peso / Pound Sterling
DZDEUR	Algerian Dinar / Euro Dollar
DZDUSD	Algerian Dinar / US Dollar
EGPEUR	Egyptian Pound / Euro Dollar
EGPJPY	Egyptian Pound / Japanese Yen
EGPPKR	Egyptian Pound / Pakistan Rupee
EGPUSD	Egyptian Pound / US Dollar
ETBGBP	Ethiopian Birr / Pound Sterling
EURAED	Euro Dollar / UAE Dirham
EURAFN	Euro Dollar / Afghani
EURALL	Euro Dollar / Lek
EURAMD	Euro Dollar / Armenian Dram
EURARS	Euro Dollar / Argentine Peso
EURAUD	Euro Dollar / Australian Dollar
EURBBD	Euro Dollar / Barbados Dollar
EURBDT	Euro Dollar / Taka
EURBGN	Euro Dollar / Bulgarian Lev
EURBHD	Euro Dollar / Bahraini Dinar
EURBIF	Euro Dollar / Burundi Franc
EURBND	Euro Dollar / Brunei Dollar
EURBOB	Euro Dollar / Boliviano
EURBRL	Euro Dollar / Brazilian Real
EURBSD	Euro Dollar / Bahamian Dollar
EURBWP	Euro Dollar / Pula
EURBZD	Euro Dollar / Belize Dollar
EURCAD	Euro Dollar / Canadian Dollar
EURCHF	Euro Dollar / Swiss Franc
EURCLP	Euro Dollar / Chilean Peso
EURCNH	Euro Dollar / Renminbi (Offshore)
EURCNY	Euro Dollar / Yuan Renminbi
EURCOP	Euro Dollar / Colombian Peso
EURCRC	Euro Dollar / Costa Rican Colon
EURCZK	Euro Dollar / Czech Koruna
EURDJF	Euro Dollar / Djibouti Franc
EURDKK	Euro Dollar / Danish Krone
EURDOP	Euro Dollar / Dominican Peso
EURDZD	Euro Dollar / Algerian Dinar
EUREGP	Euro Dollar / Egyptian Pound
EURETB	Euro Dollar / Ethiopian Birr
EURFJD	Euro Dollar / Fiji Dollar
EURGBP	Euro Dollar / Pound Sterling
