Symbol	Description
MXNSGD	Mexican Peso / Singapore Dollar
MXNUSD	Mexican Peso / US Dollar
MXNZAR	Mexican Peso / South African Rand
MYRAUD	Malaysian Ringgit / Australian Dollar
MYRCAD	Malaysian Ringgit / Canadian Dollar
MYRCHF	Malaysian Ringgit / Swiss Franc
MYRCNH	Malaysian Ringgit / Renminbi (Offshore)
MYRCNY	Malaysian Ringgit / Yuan Renminbi
MYRDKK	Malaysian Ringgit / Danish Krone
MYREUR	Malaysian Ringgit / Euro Dollar
MYRHKD	Malaysian Ringgit / Hong Kong Dollar
MYRIDR	Malaysian Ringgit / Indian Rupiah
MYRINR	Malaysian Ringgit / Indian Rupee
MYRJPY	Malaysian Ringgit / Japanese Yen
MYRKRW	Malaysian Ringgit / Korean Won
MYRNZD	Malaysian Ringgit / New Zealand Dollar
MYRPKR	Malaysian Ringgit / Pakistan Rupee
MYRSGD	Malaysian Ringgit / Singapore Dollar
MYRTHB	Malaysian Ringgit / Thai Baht
MYRTWD	Malaysian Ringgit / New Taiwan Dollar
MYRUSD	Malaysian Ringgit / US Dollar
MYRZAR	Malaysian Ringgit / South African Rand
NGNGBP	Naira / Pound Sterling
NGNJPY	Naira / Japanese Yen
NIOGBP	Cordoba Oro / Pound Sterling
NOKCAD	Norwegian Krone / Canadian Dollar
NOKCHF	Norwegian Krone / Swiss Franc
NOKCNH	Norwegian Krone / Renminbi (Offshore)
NOKDKK	Norwegian Krone / Danish Krone
NOKEUR	Norwegian Krone / Euro Dollar
NOKGBP	Norwegian Krone / Pound Sterling
NOKINR	Norwegian Krone / Indian Rupee
NOKJPY	Norwegian Krone / Japanese Yen
NOKPLN	Norwegian Krone / Polish Zloty
NOKSEK	Norwegian Krone / Swedish Krona
NOKUSD	Norwegian Krone / US Dollar
NOKZAR	Norwegian Krone / South African Rand
NZDAED	New Zealand Dollar / UAE Dirham
NZDAUD	New Zealand Dollar / Australian Dollar
NZDCAD	New Zealand Dollar / Canadian Dollar
NZDCHF	New Zealand Dollar / Swiss Franc
NZDCNH	New Zealand Dollar / Renminbi (Offshore)
NZDCNY	New Zealand Dollar / Yuan Renminbi
NZDCZK	New Zealand Dollar / Czech Koruna
NZDDKK	New Zealand Dollar / Danish Krone
NZDEUR	New Zealand Dollar / Euro Dollar
NZDGBP	New Zealand Dollar / Pound Sterling
NZDHKD	New Zealand Dollar / Hong Kong Dollar
NZDHUF	New Zealand Dollar / Hungarian Forint
NZDIDR	New Zealand Dollar / Indian Rupiah
NZDINR	New Zealand Dollar / Indian Rupee
NZDJPY	New Zealand Dollar / Japanese Yen
NZDKRW	New Zealand Dollar / Korean Won
NZDMXN	New Zealand Dollar / Mexican Peso
NZDMYR	New Zealand Dollar / Malaysian Ringgit
NZDNOK	New Zealand Dollar / Norwegian Krone
NZDPKR	New Zealand Dollar / Pakistan Rupee
NZDPLN	New Zealand Dollar / Polish Zloty
NZDSEK	New Zealand Dollar / Swedish Krona
NZDSGD	New Zealand Dollar / Singapore Dollar
NZDTHB	New Zealand Dollar / Thai Baht
NZDTRY	New Zealand Dollar / Turkish Lira
NZDTWD	New Zealand Dollar / New Taiwan Dollar
NZDUSD	New Zealand Dollar / US Dollar
NZDZAR	New Zealand Dollar / South African Rand
OMRAED	Rial Omani / UAE Dirham
OMRGBP	Rial Omani / Pound Sterling
OMRPKR	Rial Omani / Pakistan Rupee
OMRUSD	Rial Omani / US Dollar
OMRZAR	Rial Omani / South African Rand
PENGBP	Nuevo Sol / Pound Sterling
PGKGBP	Papua New Guinea Kina / Pound Sterling
PHPDKK	Philippine Peso / Danish Krone
PHPGBP	Philippine Peso / Pound Sterling
PHPJPY	Philippine Peso / Japanese Yen
PHPUSD	Philippine Peso / US Dollar
PKRGBP	Pakistan Rupee / Pound Sterling
PKRJPY	Pakistan Rupee / Japanese Yen
PKRZAR	Pakistan Rupee / South African Rand
PLNCHF	Polish Zloty / Swiss Franc
PLNCZK	Polish Zloty / Czech Koruna
PLNDKK	Polish Zloty / Danish Krone
PLNEUR	Polish Zloty / Euro Dollar
PLNGBP	Polish Zloty / Pound Sterling
PLNHUF	Polish Zloty / Hungarian Forint
PLNILS	Polish Zloty / New Israeli Sheqel
PLNJPY	Polish Zloty / Japanese Yen
PLNNOK	Polish Zloty / Norwegian Krone
PLNSEK	Polish Zloty / Swedish Krona
PLNUSD	Polish Zloty / US Dollar
QARAED	Qatari Rial / UAE Dirham
QARGBP	Qatari Rial / Pound Sterling
QARPKR	Qatari Rial / Pakistan Rupee
QARUSD	Qatari Rial / US Dollar
QARZAR	Qatari Rial / South African Rand
RONCHF	Romanian Leu / Swiss Franc
RONGBP	Romanian Leu / Pound Sterling
RONUSD	Romanian Leu / US Dollar
RUBCHF	Russian Ruble / Swiss Franc
RUBGBP	Russian Ruble / Pound Sterling
RUBJPY	Russian Ruble / Japanese Yen
RUBKRW	Russian Ruble / Korean Won
RUBPLN	Russian Ruble / Polish Zloty
RUBUSD	Russian Ruble / US Dollar
SAREUR	Saudi Riyal / Euro Dollar
SARPKR	Saudi Riyal / Pakistan Rupee
SARUSD	Saudi Riyal / US Dollar
SCRGBP	Seychelles Rupee / Pound Sterling
SCRUSD	Seychelles Rupee / US Dollar
SEKAUD	Swedish Krona / Australian Dollar
SEKCAD	Swedish Krona / Canadian Dollar
SEKCHF	Swedish Krona / Swiss Franc
SEKCNH	Swedish Krona / Renminbi (Offshore)
SEKCZK	Swedish Krona / Czech Koruna
SEKDKK	Swedish Krona / Danish Krone
SEKEUR	Swedish Krona / Euro Dollar
SEKGBP	Swedish Krona / Pound Sterling
SEKILS	Swedish Krona / New Israeli Sheqel
SEKINR	Swedish Krona / Indian Rupee
SEKJPY	Swedish Krona / Japanese Yen
SEKNOK	Swedish Krona / Norwegian Krone
SEKPLN	Swedish Krona / Polish Zloty
SEKUSD	Swedish Krona / US Dollar
SEKZAR	Swedish Krona / South African Rand
SGDAED	Singapore Dollar / UAE Dirham
SGDARS	Singapore Dollar / Argentine Peso
SGDAUD	Singapore Dollar / Australian Dollar
SGDBRL	Singapore Dollar / Brazilian Real
SGDCAD	Singapore Dollar / Canadian Dollar
SGDCHF	Singapore Dollar / Swiss Franc
SGDCNH	Singapore Dollar / Renminbi (Offshore)
SGDCNY	Singapore Dollar / Yuan Renminbi
SGDDKK	Singapore Dollar / Danish Krone
SGDEUR	Singapore Dollar / Euro Dollar
SGDGBP	Singapore Dollar / Pound Sterling
SGDHKD	Singapore Dollar / Hong Kong Dollar
SGDIDR	Singapore Dollar / Indian Rupiah
SGDINR	Singapore Dollar / Indian Rupee
SGDJPY	Singapore Dollar / Japanese Yen
SGDKRW	Singapore Dollar / Korean Won
SGDMXN	Singapore Dollar / Mexican Peso
SGDMYR	Singapore Dollar / Malaysian Ringgit
SGDNZD	Singapore Dollar / New Zealand Dollar
SGDPKR	Singapore Dollar / Pakistan Rupee
SGDPLN	Singapore Dollar / Polish Zloty
SGDSEK	Singapore Dollar / Swedish Krona
SGDTHB	Singapore Dollar / Thai Baht
SGDTWD	Singapore Dollar / New Taiwan Dollar
SGDUSD	Singapore Dollar / US Dollar
SGDZAR	Singapore Dollar / South African Rand
SHPUSD	Saint Helena Pound / US Dollar
SLLUSD	Leone / US Dollar
SZLCHF	Lilangeni / Swiss Franc
SZLEUR	Lilangeni / Euro Dollar
SZLGBP	Lilangeni / Pound Sterling
SZLUSD	Lilangeni / US Dollar
THBAUD	Thai Baht / Australian Dollar
THBCAD	Thai Baht / Canadian Dollar
THBCHF	Thai Baht / Swiss Franc
THBCNY	Thai Baht / Yuan Renminbi
THBEUR	Thai Baht / Euro Dollar
THBHKD	Thai Baht / Hong Kong Dollar
THBIDR	Thai Baht / Indian Rupiah
THBINR	Thai Baht / Indian Rupee
THBJPY	Thai Baht / Japanese Yen
THBKRW	Thai Baht / Korean Won
THBMYR	Thai Baht / Malaysian Ringgit
THBNZD	Thai Baht / New Zealand Dollar
THBPKR	Thai Baht / Pakistan Rupee
THBSGD	Thai Baht / Singapore Dollar
THBTWD	Thai Baht / New Taiwan Dollar
THBUSD	Thai Baht / US Dollar
THBZAR	Thai Baht / South African Rand
TNDGBP	Tunisian Dinar / Pound Sterling
TNDUSD	Tunisian Dinar / US Dollar
TRYCHF	Turkish Lira / Swiss Franc
TRYDKK	Turkish Lira / Danish Krone
TRYJPY	Turkish Lira / Japanese Yen
TRYPLN	Turkish Lira / Polish Zloty
TRYUSD	Turkish Lira / US Dollar
TRYZAR	Turkish Lira / South African Rand
TTDGBP	Trinidad and Tobago Dollar / Pound Sterling
TWDAUD	New Taiwan Dollar / Australian Dollar
TWDCAD	New Taiwan Dollar / Canadian Dollar
TWDCHF	New Taiwan Dollar / Swiss Franc
TWDCNY	New Taiwan Dollar / Yuan Renminbi
TWDDKK	New Taiwan Dollar / Danish Krone
TWDHKD	New Taiwan Dollar / Hong Kong Dollar
TWDIDR	New Taiwan Dollar / Indian Rupiah
TWDINR	New Taiwan Dollar / Indian Rupee
TWDJPY	New Taiwan Dollar / Japanese Yen
TWDKRW	New Taiwan Dollar / Korean Won
TWDMYR	New Taiwan Dollar / Malaysian Ringgit
TWDNZD	New Taiwan Dollar / New Zealand Dollar
TWDPKR	New Taiwan Dollar / Pakistan Rupee
TWDSEK	New Taiwan Dollar / Swedish Krona
TWDSGD	New Taiwan Dollar / Singapore Dollar
TWDTHB	New Taiwan Dollar / Thai Baht
TWDUSD	New Taiwan Dollar / US Dollar
TWDZAR	New Taiwan Dollar / South African Rand
TZSZAR	Tanzanian Shilling / South African Rand
UAHDKK	Hryvnia / Danish Krone
UAHEUR	Hryvnia / Euro Dollar
UAHUSD	Hryvnia / US Dollar
USDAED	US Dollar / UAE Dirham
USDAFN	US Dollar / Afghani
USDALL	US Dollar / Lek
USDAMD	US Dollar / Armenian Dram
USDARS	US Dollar / Argentine Peso
USDAUD	US Dollar / Australian Dollar
USDAWG	US Dollar / Aruban Guilder
USDBDT	US Dollar / Taka
USDBGN	US Dollar / Bulgarian Lev
USDBHD	US Dollar / Bahraini Dinar
USDBIF	US Dollar / Burundi Franc
USDBND	US Dollar / Brunei Dollar
USDBOB	US Dollar / Boliviano
USDBRL	US Dollar / Brazilian Real
USDBWP	US Dollar / Pula
USDBZD	US Dollar / Belize Dollar
USDCAD	US Dollar / Canadian Dollar
USDCDF	US Dollar / Franc Congolais
USDCHF	US Dollar / Swiss Franc
USDCLP	US Dollar / Chilean Peso
USDCNH	US Dollar / Renminbi (Offshore)
USDCNY	US Dollar / Yuan Renminbi
USDCOP	US Dollar / Colombian Peso
USDCRC	US Dollar / Costa Rican Colon
USDCVE	US Dollar / Cape Verde Escudo
USDCZK	US Dollar / Czech Koruna
USDDJF	US Dollar / Djibouti Franc
USDDKK	US Dollar / Danish Krone
USDDOP	US Dollar / Dominican Peso
USDDZD	US Dollar / Algerian Dinar
USDEGP	US Dollar / Egyptian Pound
USDETB	US Dollar / Ethiopian Birr
USDEUR	US Dollar / Euro Dollar
USDFJD	US Dollar / Fiji Dollar
USDGBP	US Dollar / Pound Sterling
USDGEL	US Dollar / Lari
USDGHS	US Dollar / Cedi
USDGMD	US Dollar / Dalasi
USDGNF	US Dollar / Guinea Franc
USDGTQ	US Dollar / Guatemalan Quetzal
USDHKD	US Dollar / Hong Kong Dollar
USDHNL	US Dollar / Honduran Lempira
USDHRK	US Dollar / Croatian kuna
USDHTG	US Dollar / Gourde
USDHUF	US Dollar / Hungarian Forint
USDIDR	US Dollar / Indian Rupiah
USDILS	US Dollar / New Israeli Sheqel
USDINR	US Dollar / Indian Rupee
USDIQD	US Dollar / Iraqi Dinar
USDIRR	US Dollar / Iranian Rial
USDISK	US Dollar / Iceland Krona
USDJOD	US Dollar / Jordanian Dinar
USDJPY	US Dollar / Japanese Yen
USDKES	US Dollar / Kenyan Shilling
USDKHR	US Dollar / Riel
USDKMF	US Dollar / Comoro Franc
USDKRW	US Dollar / Korean Won
USDKWD	US Dollar / Kuwaiti Dinar
USDKZT	US Dollar / Tenge
USDLAK	US Dollar / Kip
USDLBP	US Dollar / Lebanese Pound
USDLKR	US Dollar / Sri Lanka Rupee
USDLRD	US Dollar / Liberian Dollar
USDLSL	US Dollar / Loti
USDLYD	US Dollar / Lybian Dinar
USDMAD	US Dollar / Moroccan Dirham
USDMDL	US Dollar / Moldovan Leu
USDMKD	US Dollar / Denar
USDMMK	US Dollar / Kyat
USDMOP	US Dollar / Pataca
USDMUR	US Dollar / Mauritius Rupee
USDMVR	US Dollar / Rufiyaa
USDMWK	US Dollar / Kwacha
USDMXN	US Dollar / Mexican Peso
USDMYR	US Dollar / Malaysian Ringgit
USDNAD	US Dollar / Namibia Dollar
USDNGN	US Dollar / Naira
USDNIO	US Dollar / Cordoba Oro
USDNOK	US Dollar / Norwegian Krone
USDNPR	US Dollar / Nepalese Rupee
USDNZD	US Dollar / New Zealand Dollar
USDOMR	US Dollar / Rial Omani
USDPAB	US Dollar / Balboa
USDPEN	US Dollar / Nuevo Sol
USDPGK	US Dollar / Papua New Guinea Kina
USDPHP	US Dollar / Philippine Peso
USDPKR	US Dollar / Pakistan Rupee
USDPLN	US Dollar / Polish Zloty
USDPYG	US Dollar / Guarani
USDQAR	US Dollar / Qatari Rial
USDRON	US Dollar / Romanian Leu
USDRSD	US Dollar / Serbian Dinar
USDRUB	US Dollar / Russian Ruble
USDRWF	US Dollar / Rwanda Franc
USDSAR	US Dollar / Saudi Riyal
USDSCR	US Dollar / Seychelles Rupee
USDSEK	US Dollar / Swedish Krona
USDSGD	US Dollar / Singapore Dollar
USDSLL	US Dollar / Leone
USDSOS	US Dollar / Somali Shilling
USDSVC	US Dollar / El Salvador Colon
USDSZL	US Dollar / Lilangeni
USDTHB	US Dollar / Thai Baht
USDTND	US Dollar / Tunisian Dinar
USDTRY	US Dollar / Turkish Lira
USDTWD	US Dollar / New Taiwan Dollar
USDTZS	US Dollar / Tanzanian Shilling
USDUAH	US Dollar / Hryvnia
USDUYU	US Dollar / Peso Uruguayo
USDUZS	US Dollar / Uzbekistan Sum
USDVND	US Dollar / Dong
USDXAF	US Dollar / CFA Franc BEAC
USDXOF	US Dollar / CFA Franc BCEAO
USDXPF	US Dollar / CFP Franc
USDYER	US Dollar / Yemeni Rial
USDZAR	US Dollar / South African Rand
UYUEUR	Peso Uruguayo / Euro Dollar
UYUUSD	Peso Uruguayo / US Dollar
VNDJPY	Dong / Japanese Yen
VNDXAF	Dong / CFA Franc BEAC
XAGARS	Silver / Argentine Peso
XAGAUD	Silver / Australian Dollar
XAGBRL	Silver / Brazilian Real
XAGCAD	Silver / Canadian Dollar
XAGCHF	Silver / Swiss Franc
XAGCNY	Silver / Yuan Renminbi
XAGEUR	Silver / Euro Dollar
XAGGBP	Silver / Pound Sterling
XAGHKD	Silver / Hong Kong Dollar
XAGIDR	Silver / Indonesian Rupiah
XAGINR	Silver / Indian Rupee
XAGJPY	Silver / Japanese Yen
XAGKRW	Silver / Korean Won
XAGMXN	Silver / Mexican Peso
XAGRUB	Silver / Russian Ruble
XAGSAR	Silver / Saudi Riyal
XAGTRY	Silver / Turkish Lira
XAGUSD	Silver / US Dollar
XAGZAR	Silver / South African Rand
XAUARS	Gold / Argentine Peso
XAUAUD	Gold / Australian Dollar
XAUBRL	Gold / Brazilian Real
XAUCAD	Gold / Canadian Dollar
XAUCHF	Gold / Swiss Franc
XAUCNY	Gold / Yuan Renminbi
XAUEUR	Gold / Euro Dollar
XAUGBP	Gold / Pound Sterling
XAUHKD	Gold / Hong Kong Dollar
XAUINR	Gold / Indian Rupee
XAUJPY	Gold / Japanese Yen
XAUMXN	Gold / Mexican Peso
XAURUB	Gold / Russian Ruble
XAUSAR	Gold / Saudi Riyal
XAUTHB	Gold / Thai Baht
XAUTRY	Gold / Turkish Lira
XAUUSD	Gold / US Dollar
XAUZAR	Gold / South African Rand
XCDGBP	East Caribbean Dollar / Pound Sterling
XPDEUR	Palladium / Euro Dollar
XPDGBP	Palladium / Pound Sterling
XPDUSD	Palladium / US Dollar
XPFGBP	CFP Franc / Pound Sterling
XPTEUR	Platinum / Euro Dollar
XPTGBP	Platinum / Pound Sterling
XPTUSD	Platinum / US Dollar
YERUSD	Yemeni Rial / US Dollar
ZARAED	South African Rand / UAE Dirham
ZARARS	South African Rand / Argentine Peso
ZARAUD	South African Rand / Australian Dollar
ZARBRL	South African Rand / Brazilian Real
ZARBWP	South African Rand / Pula
ZARCAD	South African Rand / Canadian Dollar
ZARCHF	South African Rand / Swiss Franc
ZARCNY	South African Rand / Yuan Renminbi
ZARCYP	South African Rand / Cyprus Pound
ZARDKK	South African Rand / Danish Krone
ZAREUR	South African Rand / Euro Dollar
ZARGBP	South African Rand / Pound Sterling
ZARHKD	South African Rand / Hong Kong Dollar
ZARIDR	South African Rand / Indian Rupiah
ZARINR	South African Rand / Indian Rupee
ZARJPY	South African Rand / Japanese Yen
ZARKES	South African Rand / Kenyan Shilling
ZARKRW	South African Rand / Korean Won
ZARMUR	South African Rand / Mauritius Rupee
ZARMXN	South African Rand / Mexican Peso
ZARMYR	South African Rand / Malaysian Ringgit
ZARNOK	South African Rand / Norwegian Krone
ZARNZD	South African Rand / New Zealand Dollar
ZAROMR	South African Rand / Rial Omani
ZARPHP	South African Rand / Philippine Peso
ZARPKR	South African Rand / Pakistan Rupee
ZARPLN	South African Rand / Polish Zloty
ZARSEK	South African Rand / Swedish Krona
ZARSGD	South African Rand / Singapore Dollar
ZARTHB	South African Rand / Thai Baht
ZARTRY	South African Rand / Turkish Lira
ZARTWD	South African Rand / New Taiwan Dollar
ZARUSD	South African Rand / US Dollar
